HouseID_MW,HouseID_EC
100a,100a
101a,101a
102a,102a
103a,103a
104a,104a
105a,105a
106a,106a
107a,107a
109a,109a
10a,10a
110a,110a
11a,11a
120b,120b
121b,121b
122b,122b
123b,123b
124b,124b
125b,125b
126b,126b
127b,127b
129b,129b
12a,12a
130b,130b
131b,131b
132b,132b
133b,133b
134b,134b
135b,135b
136b,136b
138b,138b
13a,13a
140b,140b
141b,141b
142b,142b
143b,143b
144b,144b
145b,145b
146b,146b
147b,147b
148b,148b
149b,149b
14a,14a
150b,150b
151b,151b
152b,152b
153b,153b
154b,154b
155b,155b
156b,156b
158b,158b
159b,159b
15a,15a
160b,160b
161b,161b
163b,163b
164b,164b
165b,165b
166b,166b
167b,167b
168b,168b
169b,169b
16a,16a
170b,170b
172b,172b
173b,173b
175b,175b
177b,177b
178b,178b
179b,179b
17a,17a
180b,180b
182b,182b
184b,184b
185b,185b
186b,186b
187b,187b
188b,188b
189b,189b
18a,18a
190b,190b
191b,191b
192b,192b
195b,195b
196b,196b
197b,197b
199b,199b
19a,19a
200b,200b
201b,201b
203b,203b
204b,204b
205b,205b
206b,206b
207b,207b
208b,208b
209b,209b
20a,20a
210b,210b
211b,211b
212b,212b
213b,213b
214b,214b
215b,215b
216b,216b
217b,217b
218b,218b
219b,219b
21a,21a
220b,220b
222b,222b
223b,223b
224b,224b
225b,225b
226b,226b
227b,227b
228b,228b
229b,229b
22a,22a
230b,230b
23a,23a
240c,240c
241c,241c
242c,242c
243c,243c
244c,244c
245c,245c
246c,246c
248c,248c
249c,249c
24a,24a
250c,250c
251c,251c
252c,252c
253c,253c
254c,254c
255c,255c
256c,256c
257c,257c
258c,258c
259c,259c
25a,25a
260c,260c
261c,261c
262c,262c
263c,263c
264c,264c
265c,265c
266c,266c
267c,267c
268c,268c
269c,269c
26a,26a
270c,270c
271c,271c
272c,272c
273c,273c
274c,274c
275c,275c
276c,276c
277c,277c
278c,278c
279c,279c
27a,27a
280c,280c
281c,281c
282c,282c
283c,283c
284c,284c
285c,285c
286c,286c
287c,287c
288c,288c
289c,289c
28a,28a
290c,290c
291c,291c
292c,292c
293c,293c
294c,294c
295c,295c
296c,296c
297c,297c
298c,298c
299c,299c
29a,29a
2a,2a
300c,300c
301c,301c
302c,302c
303c,303c
304c,304c
305c,305c
306c,306c
307c,307c
308c,308c
309c,309c
30a,30a
310c,310c
311c,311c
312c,312c
313c,313c
314c,314c
315c,315c
316c,316c
317c,317c
318c,318c
319c,319c
31a,31a
320c,320c
321c,321c
322c,322c
324c,324c
325c,325c
326c,326c
327c,327c
328c,328c
329c,329c
32a,32a
331c,331c
332c,332c
333c,333c
334c,334c
335c,335c
336c,336c
337c,337c
338c,338c
339c,339c
33a,33a
340c,340c
341c,341c
342c,342c
343c,343c
344c,344c
345c,345c
346c,346c
347c,347c
348c,348c
34a,34a
350c,350c
351c,351c
35a,35a
360d,360d
361d,361d
362d,362d
363d,363d
364d,364d
365d,365d
366d,366d
367d,367d
368d,368d
369d,369d
36a,36a
370d,370d
371d,371d
372d,372d
373d,373d
374d,374d
375d,375d
376d,376d
377d,377d
378d,378d
379d,379d
37a,37a
380d,380d
381d,381d
382d,382d
383d,383d
384d,384d
385d,385d
386d,386d
387d,387d
388d,388d
389d,389d
38a,38a
390d,390d
391d,391d
392d,392d
393d,393d
394d,394d
395d,395d
396d,396d
397d,397d
398d,398d
399d,399d
39a,39a
3a,3a
400d,400d
401d,401d
402d,402d
403d,403d
404d,404d
405d,405d
406d,406d
407d,407d
409d,409d
40a,40a
410d,410d
411d,411d
412d,412d
413d,413d
414d,414d
415d,415d
416d,416d
417d,417d
418d,418d
419d,419d
41a,41a
420d,420d
421d,421d
422d,422d
423d,423d
424d,424d
425d,425d
426d,426d
429d,429d
42a,42a
430d,430d
433d,433d
434d,434d
436d,436d
437d,437d
438d,438d
439d,439d
43a,43a
440d,440d
441d,441d
444d,444d
445d,445d
446d,446d
447d,447d
448d,448d
449d,449d
450d,450d
451d,451d
452d,452d
453d,453d
454d,454d
455d,455d
456d,456d
457d,457d
458d,458d
459d,459d
45a,45a
460d,460d
461d,461d
462d,462d
463d,463d
464d,464d
465d,465d
467d,467d
468d,468d
469d,469d
46a,46a
470d,470d
47a,47a
48a,48a
49a,49a
4a,4a
51a,51a
52a,52a
53a,53a
54a,54a
55a,55a
56a,56a
57a,57a
58a,58a
59a,59a
5a,5a
60a,60a
61a,61a
62a,62a
63a,63a
64a,64a
65a,65a
66a,66a
67a,67a
68a,68a
69a,69a
6a,6a
70a,70a
71a,71a
72a,72a
73a,73a
74a,74a
75a,75a
76a,76a
77a,77a
78a,78a
79a,79a
7a,7a
80a,80a
81a,81a
82a,82a
83a,83a
84a,84a
85a,85a
86a,86a
87a,87a
88a,88a
89a,89a
8a,8a
901a,1702??a
902a,1601??a
903b,920??b
904b,2035??b
905b,1101??b
906b,1228??b
907b,1801??b
908b,1833??b
909c,2125??c
90a,90a
910d,756??d
911d,14215??d
912d,1432??d
913d,1426??d
914d,1450??d
915d,14625??d
916d,1310??d
91a,91a
92a,92a
93a,93a
94a,94a
95a,95a
96a,96a
97a,97a
9a,9a